card_cm_bank60m_pct,card_cm_bank24m_pct
0.0,0.0
1.0,0.7140000000000001
0.759,0.034
1.0,0.0
0.8,0.2
0.467,0.333
0.5,0.0
1.0,1.0
1.0,0.333
1.0,0.0
-1.0,-1.0
-1.0,-1.0
1.0,1.0
-1.0,-1.0
0.667,0.0
1.0,0.0
1.0,0.0
0.333,0.333
0.364,0.182
0.316,0.053
-1.0,-1.0
-1.0,-1.0
1.0,0.0
0.6,0.2
0.069,0.0
1.0,0.0
-1.0,-1.0
-1.0,-1.0
1.0,0.75
0.429,0.28600000000000003
1.0,0.0
0.625,0.0
1.0,0.2
-1.0,-1.0
0.0,0.0
-1.0,-1.0
0.8,0.5329999999999999
0.6920000000000001,0.231
0.727,0.091
0.0,0.0
-1.0,-1.0
1.0,1.0
1.0,1.0
1.0,0.0
-1.0,-1.0
1.0,0.0
1.0,0.0
-1.0,-1.0
0.75,0.375
0.5,0.5
-1.0,-1.0
1.0,1.0
0.857,0.5710000000000001
0.7,0.7
-1.0,-1.0
0.7709999999999999,0.083
1.0,0.0
0.333,0.0
1.0,0.0
0.0,0.0
-1.0,-1.0
0.8,0.0
0.636,0.182
0.667,0.0
0.276,0.0
1.0,1.0
0.75,0.5
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
0.8,0.4
0.667,0.2
1.0,0.0
0.0,0.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
1.0,0.0
0.0,0.0
1.0,0.0
-1.0,-1.0
0.333,0.333
1.0,0.333
0.0,0.0
-1.0,-1.0
-1.0,-1.0
0.5,0.0
1.0,0.5710000000000001
-1.0,-1.0
0.667,0.333
0.333,0.0
0.833,0.333
1.0,0.08
0.6,0.2
-1.0,-1.0
0.778,0.0
0.773,0.0
-1.0,-1.0
-1.0,-1.0
0.643,0.28600000000000003
1.0,0.6
0.792,0.292
0.944,0.611
0.8,0.6
0.375,0.375
0.0,0.0
1.0,0.0
1.0,0.25
1.0,1.0
1.0,1.0
-1.0,-1.0
0.0,0.0
-1.0,-1.0
1.0,0.667
0.16699999999999998,0.0
1.0,0.6
1.0,0.16699999999999998
0.625,0.5
1.0,0.4
1.0,0.8
0.9,0.0
1.0,1.0
-1.0,-1.0
0.8,0.0
1.0,0.667
0.889,0.333
0.429,0.0
-1.0,-1.0
0.8,0.2
0.917,0.083
1.0,1.0
1.0,0.6
0.923,0.0
0.0,0.0
0.9,0.1
1.0,1.0
-1.0,-1.0
0.4,0.0
0.048,0.048
1.0,1.0
-1.0,-1.0
-1.0,-1.0
1.0,1.0
1.0,0.727
0.667,0.333
0.938,0.938
0.35,0.0
-1.0,-1.0
-1.0,-1.0
1.0,0.0
1.0,0.0
-1.0,-1.0
1.0,0.25
0.591,0.0
0.5,0.0
1.0,0.0
1.0,1.0
0.25,0.25
-1.0,-1.0
0.0,0.0
1.0,0.833
1.0,1.0
0.5710000000000001,0.0
1.0,0.0
0.5,0.5
0.0,0.0
-1.0,-1.0
1.0,0.0
0.0,0.0
0.857,0.5710000000000001
1.0,0.611
0.389,0.333
1.0,0.667
1.0,0.0
0.5,0.0
1.0,0.214
1.0,0.0
1.0,1.0
0.29600000000000004,0.185
0.5,0.0
0.333,0.0
1.0,0.28600000000000003
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
1.0,0.071
-1.0,-1.0
0.8,0.4
-1.0,-1.0
-1.0,-1.0
0.6,0.0
1.0,0.105
1.0,0.111
0.75,0.0
0.923,0.077
-1.0,-1.0
1.0,1.0
1.0,0.8
-1.0,-1.0
0.25,0.0
0.75,0.25
1.0,1.0
1.0,0.833
1.0,0.2
0.833,0.0
0.5,0.333
-1.0,-1.0
0.6,0.4
-1.0,-1.0
1.0,0.5
0.17600000000000002,0.0
0.75,0.0
-1.0,-1.0
-1.0,-1.0
1.0,0.0
0.333,0.333
1.0,0.111
1.0,1.0
0.4,0.2
0.909,0.818
-1.0,-1.0
-1.0,-1.0
0.182,0.091
-1.0,-1.0
1.0,0.125
0.25,0.25
1.0,0.0
0.375,0.375
0.75,0.25
1.0,1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
0.0,0.0
0.706,0.0
0.375,0.25
-1.0,-1.0
0.17600000000000002,0.0
-1.0,-1.0
1.0,0.133
-1.0,-1.0
1.0,0.0
0.0,0.0
-1.0,-1.0
1.0,0.0
1.0,1.0
0.7140000000000001,0.0
1.0,1.0
0.5,0.0
1.0,1.0
1.0,1.0
0.053,0.0
1.0,0.0
-1.0,-1.0
-1.0,-1.0
0.4,0.4
1.0,0.8
-1.0,-1.0
1.0,0.333
1.0,0.0
1.0,0.0
1.0,0.083
0.6,0.1
-1.0,-1.0
0.0,0.0
0.0,0.0
0.6,0.6
-1.0,-1.0
1.0,1.0
-1.0,-1.0
0.5,0.25
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.333
0.5,0.25
-1.0,-1.0
0.979,0.255
0.0,0.0
-1.0,-1.0
1.0,1.0
0.947,0.947
0.667,0.333
-1.0,-1.0
0.75,0.0
0.0,0.0
0.0,0.0
0.9,0.3
-1.0,-1.0
0.0,0.0
1.0,0.5
0.0,0.0
1.0,0.0
-1.0,-1.0
0.25,0.0
1.0,0.5
-1.0,-1.0
0.0,0.0
1.0,0.0
1.0,1.0
0.222,0.111
-1.0,-1.0
1.0,0.667
0.6920000000000001,0.308
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
1.0,1.0
-1.0,-1.0
1.0,0.7859999999999999
0.16699999999999998,0.111
0.5,0.375
