card_cm_bank60m_pct,card_cm_bank24m_pct
1.0,0.4
1.0,1.0
0.882,0.118
-1.0,-1.0
0.0,0.0
-1.0,-1.0
1.0,0.667
-1.0,-1.0
1.0,0.048
0.647,0.17600000000000002
1.0,0.333
1.0,0.0
1.0,0.667
0.2,0.1
-1.0,-1.0
1.0,0.0
0.708,0.0
0.667,0.0
-1.0,-1.0
1.0,1.0
-1.0,-1.0
1.0,0.5
0.133,0.0
-1.0,-1.0
-1.0,-1.0
1.0,0.25
-1.0,-1.0
1.0,1.0
0.333,0.0
1.0,1.0
0.0,0.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
1.0,0.0
1.0,0.0
1.0,1.0
0.5,0.0
0.154,0.0
-1.0,-1.0
-1.0,-1.0
0.667,0.667
0.5,0.125
1.0,0.5
-1.0,-1.0
1.0,0.0
-1.0,-1.0
1.0,1.0
1.0,0.6920000000000001
0.16699999999999998,0.0
-1.0,-1.0
0.769,0.308
-1.0,-1.0
1.0,0.0
0.28600000000000003,0.14300000000000002
1.0,0.0
-1.0,-1.0
0.0,0.0
0.667,0.667
-1.0,-1.0
1.0,0.0
0.667,0.667
1.0,1.0
0.905,0.19
1.0,0.0
1.0,1.0
0.0,0.0
-1.0,-1.0
0.333,0.333
1.0,0.0
0.8,0.3
0.111,0.0
0.952,0.0
0.0,0.0
0.0,0.0
0.905,0.048
0.909,0.818
1.0,1.0
1.0,0.429
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,0.5
0.429,0.28600000000000003
1.0,0.444
1.0,0.0
0.667,0.222
1.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.667,0.667
-1.0,-1.0
0.16699999999999998,0.0
-1.0,-1.0
-1.0,-1.0
0.556,0.0
1.0,0.556
-1.0,-1.0
1.0,0.0
-1.0,-1.0
-1.0,-1.0
1.0,0.333
1.0,0.0
0.684,0.158
1.0,1.0
1.0,1.0
0.5,0.0
-1.0,-1.0
0.857,0.429
-1.0,-1.0
1.0,0.0
-1.0,-1.0
0.957,0.826
0.846,0.846
-1.0,-1.0
0.5710000000000001,0.28600000000000003
-1.0,-1.0
-1.0,-1.0
1.0,1.0
1.0,0.28600000000000003
-1.0,-1.0
1.0,0.6
1.0,0.125
0.5,0.4
1.0,0.429
-1.0,-1.0
0.364,0.091
0.917,0.75
1.0,0.0
1.0,0.375
0.182,0.0
0.952,0.095
0.7140000000000001,0.095
0.625,0.125
1.0,0.231
0.364,0.182
-1.0,-1.0
1.0,0.4
1.0,0.0
1.0,0.0
1.0,0.0
0.857,0.14300000000000002
1.0,0.0
0.222,0.111
0.778,0.222
-1.0,-1.0
0.75,0.375
0.818,0.182
1.0,1.0
1.0,0.0
0.0,0.0
1.0,0.0
0.125,0.0
1.0,1.0
0.455,0.091
0.5,0.5
-1.0,-1.0
-1.0,-1.0
1.0,0.0
0.0,0.0
1.0,0.0
1.0,0.5
-1.0,-1.0
0.818,0.273
1.0,1.0
1.0,1.0
-1.0,-1.0
1.0,0.25
0.28600000000000003,0.14300000000000002
0.944,0.833
1.0,1.0
0.0,0.0
-1.0,-1.0
0.0,0.0
-1.0,-1.0
0.75,0.5
0.929,0.7859999999999999
0.5,0.0
0.5,0.5
-1.0,-1.0
1.0,0.0
0.5,0.417
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
1.0,0.0
-1.0,-1.0
1.0,0.0
1.0,0.259
-1.0,-1.0
0.16699999999999998,0.0
0.4,0.2
0.062,0.0
-1.0,-1.0
-1.0,-1.0
0.2,0.2
0.5,0.344
0.875,0.625
1.0,1.0
-1.0,-1.0
1.0,0.45
0.636,0.273
0.727,0.0
1.0,1.0
0.7140000000000001,0.14300000000000002
0.0,0.0
0.429,0.28600000000000003
1.0,0.0
0.0,0.0
-1.0,-1.0
0.0,0.0
0.833,0.16699999999999998
1.0,0.375
0.556,0.222
-1.0,-1.0
-1.0,-1.0
1.0,0.5
1.0,0.0
0.353,0.17600000000000002
1.0,1.0
1.0,0.0
1.0,0.4
0.667,0.0
0.118,0.059
0.667,0.667
0.75,0.125
-1.0,-1.0
0.6,0.133
0.0,0.0
0.7,0.2
1.0,0.6920000000000001
1.0,0.333
-1.0,-1.0
1.0,0.0
-1.0,-1.0
-1.0,-1.0
0.889,0.222
1.0,0.625
0.0,0.0
1.0,0.2
1.0,0.667
1.0,0.9
0.75,0.0
1.0,1.0
0.0,0.0
1.0,0.1
1.0,0.0
0.75,0.375
-1.0,-1.0
1.0,0.333
0.444,0.037000000000000005
0.333,0.333
-1.0,-1.0
0.979,0.128
0.889,0.333
1.0,1.0
-1.0,-1.0
1.0,0.231
1.0,0.0
0.6920000000000001,0.154
0.8,0.2
-1.0,-1.0
1.0,0.375
0.935,0.161
0.5,0.0
0.0,0.0
0.25,0.25
1.0,0.211
0.889,0.667
0.0,0.0
0.182,0.0
1.0,0.0
1.0,0.333
-1.0,-1.0
0.964,0.321
0.0,0.0
1.0,0.059
0.381,0.14300000000000002
1.0,0.0
1.0,0.545
1.0,0.045
1.0,0.333
0.0,0.0
0.16699999999999998,0.0
0.062,0.062
0.0,0.0
0.8,0.2
0.12,0.08
0.16699999999999998,0.0
-1.0,-1.0
1.0,1.0
1.0,1.0
0.375,0.25
-1.0,-1.0
1.0,0.25
-1.0,-1.0
-1.0,-1.0
0.75,0.6
0.875,0.25
1.0,0.556
-1.0,-1.0
0.667,0.0
0.5,0.0
1.0,0.25
0.278,0.056
0.333,0.0
1.0,0.25
1.0,0.5
1.0,0.0
0.833,0.0
0.75,0.25
0.75,0.75
-1.0,-1.0
0.333,0.0
0.25,0.0
0.0,0.0
0.75,0.5
0.5710000000000001,0.28600000000000003
1.0,0.5
0.16699999999999998,0.0
1.0,0.833
0.923,0.0
0.5,0.25
0.0,0.0
0.8059999999999999,0.129
1.0,1.0
1.0,1.0
0.833,0.833
1.0,0.111
-1.0,-1.0
1.0,1.0
1.0,0.0
-1.0,-1.0
0.778,0.0
-1.0,-1.0
0.667,0.333
0.667,0.0
-1.0,-1.0
0.359,0.051
-1.0,-1.0
0.0,0.0
0.6,0.0
1.0,0.0
0.833,0.667
-1.0,-1.0
-1.0,-1.0
0.667,0.667
-1.0,-1.0
-1.0,-1.0
0.0,0.0
-1.0,-1.0
0.182,0.182
1.0,0.0
-1.0,-1.0
1.0,1.0
0.0,0.0
0.5329999999999999,0.5329999999999999
1.0,1.0
0.0,0.0
0.929,0.0
0.75,0.375
-1.0,-1.0
1.0,0.833
0.947,0.263
0.8,0.5
0.0,0.0
0.75,0.0
1.0,0.0
1.0,0.4
0.667,0.667
-1.0,-1.0
1.0,0.75
0.688,0.375
1.0,0.25
-1.0,-1.0
0.833,0.0
-1.0,-1.0
0.0,0.0
0.5710000000000001,0.0
-1.0,-1.0
1.0,1.0
1.0,0.0
-1.0,-1.0
0.8,0.0
-1.0,-1.0
0.0,0.0
1.0,0.0
1.0,0.0
0.737,0.105
-1.0,-1.0
1.0,0.0
1.0,0.5
0.5,0.5
-1.0,-1.0
1.0,0.429
1.0,0.8
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
1.0,1.0
0.889,0.556
1.0,0.333
-1.0,-1.0
1.0,0.5
0.889,0.778
0.0,0.0
0.312,0.062
0.3,0.1
0.154,0.0
1.0,0.667
0.0,0.0
-1.0,-1.0
0.429,0.14300000000000002
-1.0,-1.0
-1.0,-1.0
1.0,0.0
0.0,0.0
1.0,0.0
1.0,0.0
-1.0,-1.0
0.8,0.2
1.0,0.75
1.0,0.353
1.0,0.923
1.0,0.0
-1.0,-1.0
1.0,0.0
1.0,1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
0.2,0.0
0.0,0.0
1.0,0.545
1.0,0.333
0.6,0.6
1.0,0.0
1.0,0.0
1.0,1.0
1.0,0.833
0.227,0.045
0.917,0.833
0.75,0.0
0.471,0.059
-1.0,-1.0
1.0,1.0
1.0,0.0
0.5,0.5
1.0,1.0
-1.0,-1.0
1.0,1.0
0.0,0.0
1.0,0.0
1.0,0.333
0.333,0.0
-1.0,-1.0
0.84,0.12
0.5,0.214
0.0,0.0
1.0,0.0
0.333,0.111
0.667,0.444
-1.0,-1.0
0.75,0.125
0.0,0.0
0.667,0.0
1.0,1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
0.5,0.5
1.0,0.0
0.0,0.0
0.2,0.2
-1.0,-1.0
0.333,0.333
1.0,1.0
0.0,0.0
1.0,0.4
0.889,0.111
0.0,0.0
0.481,0.0
1.0,0.0
0.5,0.5
1.0,0.75
1.0,0.19
1.0,1.0
1.0,1.0
-1.0,-1.0
1.0,0.75
1.0,0.667
-1.0,-1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.14300000000000002,0.095
1.0,0.667
0.4,0.2
1.0,1.0
1.0,0.0
0.667,0.0
1.0,0.0
-1.0,-1.0
0.16699999999999998,0.0
1.0,0.0
0.882,0.118
0.28600000000000003,0.14300000000000002
0.35700000000000004,0.071
-1.0,-1.0
1.0,1.0
1.0,0.333
1.0,1.0
0.9,0.4
0.889,0.444
0.0,0.0
0.5,0.45
0.25,0.0
1.0,0.833
0.333,0.333
-1.0,-1.0
1.0,0.4
0.25,0.0
1.0,0.0
0.0,0.0
0.6,0.2
0.833,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,1.0
-1.0,-1.0
1.0,1.0
0.29600000000000004,0.07400000000000001
0.333,0.0
1.0,1.0
-1.0,-1.0
0.889,0.0
-1.0,-1.0
1.0,1.0
0.429,0.14300000000000002
1.0,0.333
-1.0,-1.0
1.0,1.0
-1.0,-1.0
-1.0,-1.0
0.75,0.75
0.857,0.429
-1.0,-1.0
1.0,0.667
0.889,0.778
0.95,0.0
0.8,0.0
-1.0,-1.0
-1.0,-1.0
0.818,0.182
-1.0,-1.0
0.14300000000000002,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.333
-1.0,-1.0
0.727,0.182
-1.0,-1.0
1.0,0.2
0.75,0.5
-1.0,-1.0
0.938,0.312
0.75,0.5
-1.0,-1.0
1.0,0.0
1.0,1.0
-1.0,-1.0
0.4,0.2
1.0,0.4
-1.0,-1.0
0.0,0.0
0.5,0.0
1.0,0.25
0.667,0.667
0.696,0.609
0.7,0.15
1.0,0.0
0.364,0.364
1.0,0.667
0.6,0.0
1.0,0.0
0.333,0.333
0.333,0.333
-1.0,-1.0
1.0,0.067
1.0,0.615
0.0,0.0
1.0,0.667
-1.0,-1.0
1.0,0.0
-1.0,-1.0
0.6,0.2
1.0,0.818
1.0,0.5
1.0,1.0
1.0,1.0
0.8,0.8
1.0,0.0
1.0,0.16699999999999998
0.857,0.071
-1.0,-1.0
-1.0,-1.0
1.0,0.222
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
1.0,0.333
1.0,0.4
1.0,0.333
1.0,0.857
-1.0,-1.0
0.75,0.25
1.0,0.182
0.636,0.636
0.706,0.529
1.0,0.0
0.16699999999999998,0.16699999999999998
0.5,0.0
0.364,0.091
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
0.0,0.0
1.0,0.083
-1.0,-1.0
1.0,1.0
1.0,0.0
0.5,0.25
-1.0,-1.0
-1.0,-1.0
0.25,0.125
0.0,0.0
1.0,1.0
0.0,0.0
0.8240000000000001,0.471
0.333,0.333
1.0,0.0
0.0,0.0
1.0,0.0
-1.0,-1.0
0.0,0.0
-1.0,-1.0
0.188,0.125
1.0,0.125
-1.0,-1.0
0.667,0.333
-1.0,-1.0
0.111,0.0
-1.0,-1.0
-1.0,-1.0
0.4,0.0
-1.0,-1.0
1.0,1.0
1.0,0.5
0.14300000000000002,0.14300000000000002
0.3,0.0
0.312,0.062
0.0,0.0
0.5,0.0
1.0,0.0
-1.0,-1.0
-1.0,-1.0
0.444,0.0
-1.0,-1.0
0.333,0.16699999999999998
-1.0,-1.0
0.889,0.556
1.0,0.133
1.0,0.043
0.429,0.28600000000000003
0.0,0.0
-1.0,-1.0
1.0,0.9
1.0,0.0
1.0,1.0
1.0,0.0
-1.0,-1.0
-1.0,-1.0
0.375,0.375
-1.0,-1.0
-1.0,-1.0
1.0,0.0
0.857,0.857
-1.0,-1.0
0.882,0.118
-1.0,-1.0
1.0,1.0
1.0,1.0
-1.0,-1.0
-1.0,-1.0
0.222,0.111
1.0,0.0
0.75,0.125
1.0,1.0
1.0,1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
0.444,0.0
0.6,0.2
0.857,0.429
0.227,0.091
1.0,0.0
1.0,0.0
-1.0,-1.0
1.0,1.0
-1.0,-1.0
-1.0,-1.0
1.0,0.0
-1.0,-1.0
0.5,0.25
1.0,0.091
0.556,0.0
1.0,0.0
1.0,0.5
0.3,0.1
-1.0,-1.0
-1.0,-1.0
1.0,0.25
1.0,0.875
0.333,0.0
1.0,0.5
0.0,0.0
0.0,0.0
1.0,0.0
0.556,0.111
-1.0,-1.0
1.0,0.0
0.75,0.0
0.75,0.75
0.769,0.462
-1.0,-1.0
1.0,0.0
1.0,1.0
1.0,0.0
-1.0,-1.0
1.0,0.667
-1.0,-1.0
0.25,0.25
1.0,0.667
-1.0,-1.0
1.0,0.667
0.0,0.0
1.0,0.0
0.846,0.769
0.5,0.25
1.0,0.0
1.0,0.7
0.429,0.429
-1.0,-1.0
0.6,0.4
0.6,0.6
0.5710000000000001,0.429
0.4,0.0
-1.0,-1.0
0.952,0.429
0.833,0.16699999999999998
0.8,0.6
0.0,0.0
-1.0,-1.0
0.0,0.0
0.875,0.75
0.941,0.941
0.0,0.0
1.0,0.0
-1.0,-1.0
0.308,0.0
0.0,0.0
0.0,0.0
0.875,0.125
0.667,0.067
0.8420000000000001,0.421
-1.0,-1.0
0.0,0.0
0.7,0.1
0.438,0.125
-1.0,-1.0
0.364,0.091
-1.0,-1.0
1.0,0.0
-1.0,-1.0
-1.0,-1.0
1.0,0.2
0.923,0.308
0.0,0.0
0.889,0.056
0.75,0.0
1.0,0.25
0.0,0.0
1.0,0.0
1.0,0.0
0.25,0.0
1.0,0.0
1.0,0.0
0.5,0.0
0.8,0.6
-1.0,-1.0
0.778,0.111
0.727,0.455
1.0,0.0
1.0,1.0
1.0,1.0
0.75,0.125
0.765,0.294
1.0,1.0
0.727,0.182
1.0,0.4
-1.0,-1.0
1.0,0.5
0.0,0.0
0.474,0.053
1.0,0.5
0.792,0.292
-1.0,-1.0
0.333,0.0
1.0,0.625
0.5,0.5
-1.0,-1.0
1.0,0.214
0.5,0.0
0.16699999999999998,0.16699999999999998
0.625,0.375
1.0,0.0
0.9,0.1
1.0,1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
1.0,1.0
-1.0,-1.0
1.0,1.0
0.6,0.4
0.667,0.25
1.0,0.565
-1.0,-1.0
-1.0,-1.0
1.0,1.0
0.6,0.6
0.0,0.0
0.727,0.182
-1.0,-1.0
1.0,0.5379999999999999
1.0,0.5
0.0,0.0
-1.0,-1.0
0.5,0.0
0.111,0.111
0.111,0.111
1.0,0.5
1.0,0.14300000000000002
0.5,0.0
-1.0,-1.0
1.0,0.0
1.0,0.375
1.0,0.65
0.85,0.05
0.0,0.0
0.14300000000000002,0.0
1.0,0.667
1.0,0.667
-1.0,-1.0
1.0,0.471
1.0,0.0
-1.0,-1.0
0.667,0.0
-1.0,-1.0
0.833,0.375
0.75,0.125
1.0,0.0
1.0,0.625
-1.0,-1.0
1.0,0.0
-1.0,-1.0
1.0,1.0
0.444,0.333
1.0,0.0
-1.0,-1.0
0.45,0.0
1.0,1.0
0.75,0.25
-1.0,-1.0
-1.0,-1.0
1.0,0.0
1.0,0.0
0.529,0.17600000000000002
0.778,0.389
0.7140000000000001,0.14300000000000002
1.0,1.0
-1.0,-1.0
0.875,0.125
0.0,0.0
0.0,0.0
1.0,0.0
-1.0,-1.0
0.5,0.0
-1.0,-1.0
0.0,0.0
0.5,0.28600000000000003
-1.0,-1.0
1.0,0.25
1.0,0.25
1.0,1.0
0.429,0.0
1.0,0.5
1.0,1.0
0.5329999999999999,0.067
0.8,0.0
1.0,0.5
0.889,0.333
1.0,0.0
-1.0,-1.0
0.636,0.455
0.947,0.211
0.5,0.125
-1.0,-1.0
1.0,0.6920000000000001
-1.0,-1.0
0.75,0.25
0.5,0.0
-1.0,-1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,0.0
1.0,0.0
0.7859999999999999,0.28600000000000003
1.0,0.4
1.0,0.5
1.0,0.526
1.0,0.0
-1.0,-1.0
1.0,0.0
0.6920000000000001,0.077
-1.0,-1.0
-1.0,-1.0
1.0,0.0
-1.0,-1.0
