card_cm_bank12m_pct,card_cm_bank24m_pct,card_cm_bank60m_pct
0.0,0.0,0.9
0.0,0.125,0.125
0.154,0.462,0.769
0.0,0.182,0.727
0.4,0.8,1.0
0.33299999999999996,1.0,1.0
0.0,0.0,0.667
0.0,0.0,0.0
0.2,0.2,0.6
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
-1.0,-1.0,-1.0
1.0,1.0,1.0
0.0,0.0,0.0
0.0,0.375,1.0
-1.0,-1.0,-1.0
0.0,0.0,0.6
0.0,0.0,0.75
0.0,0.25,1.0
0.0,0.5,1.0
0.0,0.25,1.0
0.0,1.0,1.0
0.0,0.0,0.33299999999999996
0.222,0.33299999999999996,1.0
0.2,0.2,0.6
0.0,0.0,1.0
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.0,0.0,0.8
0.0,1.0,1.0
0.0,0.0,0.444
0.0,0.0,0.0
0.429,0.5710000000000001,1.0
0.0,0.667,1.0
0.0,0.0,0.0
0.083,0.083,0.25
0.083,0.083,0.25
0.0,0.0,0.25
0.16699999999999998,0.16699999999999998,0.5
0.062,0.875,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.9329999999999999
0.0,0.25,1.0
-1.0,-1.0,-1.0
0.25,0.25,1.0
0.0,0.0,1.0
0.0,0.0,0.5
0.083,0.16699999999999998,0.833
0.0,0.0,0.33299999999999996
0.0,0.0,0.8
0.75,0.75,1.0
0.25,0.25,0.5
0.0,0.14300000000000002,0.35700000000000004
0.0,0.0,0.667
0.0,1.0,1.0
-1.0,-1.0,-1.0
0.0,0.21100000000000002,0.368
0.5,0.5,1.0
-1.0,-1.0,-1.0
0.375,0.375,0.812
0.2,0.2,0.4
0.25,0.41700000000000004,1.0
0.083,0.083,0.33299999999999996
0.0,0.25,1.0
0.083,0.25,0.667
-1.0,-1.0,-1.0
1.0,1.0,1.0
0.0,1.0,1.0
0.33299999999999996,0.33299999999999996,0.33299999999999996
0.0,0.0,1.0
-1.0,-1.0,-1.0
0.16699999999999998,0.16699999999999998,0.667
0.0,0.043,0.13
-1.0,-1.0,-1.0
0.0,0.05,0.1
0.0,0.0,0.0
0.222,0.222,0.33299999999999996
0.0,0.0,0.0
0.25,0.25,0.25
0.25,0.5,1.0
-1.0,-1.0,-1.0
0.0,1.0,1.0
-1.0,-1.0,-1.0
0.0,0.0,1.0
0.0,0.0,0.33299999999999996
0.0,0.0,0.778
0.0,0.28600000000000003,0.28600000000000003
0.0,0.0,0.667
0.0,0.33299999999999996,0.33299999999999996
0.077,0.385,1.0
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,1.0,1.0
0.0,0.042,0.958
0.579,0.737,1.0
0.0,0.0,1.0
0.1,0.4,1.0
0.33299999999999996,0.667,0.667
0.062,0.25,0.312
0.0,0.33299999999999996,1.0
-1.0,-1.0,-1.0
0.0,0.33299999999999996,0.33299999999999996
0.0,0.0,1.0
0.25,0.25,1.0
0.0,0.14300000000000002,0.28600000000000003
0.5,0.5,0.5
0.0,0.0,0.0
0.0,1.0,1.0
0.0,0.0,0.5
0.0,1.0,1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.0,1.0
-1.0,-1.0,-1.0
0.0,0.4,1.0
0.5,1.0,1.0
0.5710000000000001,0.5710000000000001,0.7859999999999999
0.0,0.0,1.0
0.0,0.0,0.812
0.0,0.33299999999999996,1.0
0.5,1.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.5710000000000001,0.619,0.762
0.0,0.16699999999999998,0.389
-1.0,-1.0,-1.0
0.0,0.0,0.0
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.5,1.0
0.0,0.0,0.25
0.0,0.5,0.5
0.0,1.0,1.0
0.14300000000000002,0.28600000000000003,0.929
0.0,0.0,0.0
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.429,0.429,1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.0,0.5
0.1,0.5,0.9
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.14300000000000002,0.14300000000000002,0.7140000000000001
0.0,0.5,1.0
0.16699999999999998,1.0,1.0
-1.0,-1.0,-1.0
1.0,1.0,1.0
0.0,1.0,1.0
0.077,0.115,1.0
0.25,1.0,1.0
0.16699999999999998,1.0,1.0
0.083,0.083,1.0
0.0,0.0,0.0
-1.0,-1.0,-1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.055999999999999994,0.222,0.833
0.0,0.0,1.0
0.643,0.643,0.7140000000000001
0.105,0.105,1.0
0.105,0.105,1.0
0.0,0.25,1.0
0.2,0.6,0.6
-1.0,-1.0,-1.0
0.0,0.0,1.0
0.0,0.0,0.4
0.154,0.154,0.385
0.0,0.0,1.0
1.0,1.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
-1.0,-1.0,-1.0
1.0,1.0,1.0
-1.0,-1.0,-1.0
0.0,1.0,1.0
0.3,0.3,0.4
0.0,0.5,0.5
0.0,0.5,0.5
0.0,0.33299999999999996,0.667
-1.0,-1.0,-1.0
0.25,0.43799999999999994,0.688
0.818,0.909,1.0
0.067,0.6,0.667
0.0,1.0,1.0
0.4,0.4,0.6
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.111,0.33299999999999996
0.41700000000000004,0.5,0.917
0.5,1.0,1.0
0.0,0.125,0.375
0.308,0.462,0.462
0.4,0.6,0.6
0.0,0.0,1.0
0.0,0.0,0.361
0.077,0.154,0.769
0.0,0.0,0.33299999999999996
0.0,0.14300000000000002,0.28600000000000003
0.0,0.0,0.0
0.14300000000000002,0.14300000000000002,1.0
-1.0,-1.0,-1.0
0.0,0.375,0.75
0.0,1.0,1.0
0.0,0.33299999999999996,0.667
0.069,0.069,0.517
0.0,0.0,0.0
0.069,0.069,0.517
0.0,0.25,0.25
0.41700000000000004,0.5,0.917
0.0,1.0,1.0
0.0,0.0,0.833
0.0,0.5,1.0
0.0,0.2,0.92
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.7,0.9
0.0,0.25,0.25
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.33299999999999996,0.667,1.0
-1.0,-1.0,-1.0
0.33299999999999996,0.667,1.0
-1.0,-1.0,-1.0
0.0,0.0,0.75
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-1.0,-1.0,-1.0
0.0,1.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.33299999999999996,0.33299999999999996
0.0,0.222,0.33299999999999996
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.0,0.0,0.16699999999999998
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.5,1.0
1.0,1.0,1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.0,0.28600000000000003
0.077,0.462,0.615
0.053,0.158,0.42100000000000004
0.0,0.0,1.0
0.125,0.5,0.875
0.077,0.231,0.6920000000000001
0.0,0.11800000000000001,0.41200000000000003
0.0,0.0,1.0
-1.0,-1.0,-1.0
0.0,0.0,0.667
1.0,1.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
-1.0,-1.0,-1.0
0.17600000000000002,0.17600000000000002,0.47100000000000003
0.0,0.0,1.0
0.75,0.75,1.0
0.067,0.067,0.5329999999999999
0.0,0.0,0.0
0.667,0.667,1.0
0.0,0.0,1.0
0.33299999999999996,0.33299999999999996,1.0
0.33299999999999996,0.33299999999999996,1.0
0.0,0.5,1.0
0.0,0.667,1.0
0.0,0.0,0.2
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.14300000000000002,0.14300000000000002,0.14300000000000002
0.0,0.28600000000000003,0.7140000000000001
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.071,0.28600000000000003,0.643
0.0,0.0,0.25
-1.0,-1.0,-1.0
1.0,1.0,1.0
0.0,0.0,1.0
0.16699999999999998,0.33299999999999996,0.33299999999999996
0.25,0.25,0.625
0.16699999999999998,0.33299999999999996,0.33299999999999996
0.0,0.33299999999999996,0.556
-1.0,-1.0,-1.0
0.0,0.0,1.0
0.059000000000000004,0.059000000000000004,0.353
0.0,0.0,0.0
0.0,1.0,1.0
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.222,0.5,1.0
0.0,0.41200000000000003,1.0
0.0,0.0,0.0
0.25,0.75,1.0
0.0,0.0,1.0
0.0,0.667,1.0
0.0,0.0,0.8
0.0,0.0,1.0
-1.0,-1.0,-1.0
0.16699999999999998,0.33299999999999996,0.5
0.4,0.4,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.043,0.087
-1.0,-1.0,-1.0
0.0,0.0,1.0
0.125,0.125,0.5
0.0,0.125,0.25
0.0,0.0,1.0
-1.0,-1.0,-1.0
0.0,0.0,1.0
0.28600000000000003,0.429,0.929
0.0,0.0,0.14300000000000002
1.0,1.0,1.0
0.0,0.636,0.818
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.33299999999999996,0.33299999999999996
0.0,0.0,1.0
0.375,0.5,1.0
0.0,0.0,0.33299999999999996
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.059000000000000004,0.588
0.0,0.14300000000000002,1.0
0.0,0.0,0.188
0.042,0.20800000000000002,0.292
0.0,0.5,1.0
0.0,0.5,1.0
0.0,0.214,0.214
0.071,0.071,0.7859999999999999
0.0,0.0,0.0
-1.0,-1.0,-1.0
1.0,1.0,1.0
0.0,0.0,0.667
0.0,0.0,0.833
0.125,0.125,0.25
0.0,0.077,0.231
-1.0,-1.0,-1.0
0.111,0.667,1.0
0.14300000000000002,0.14300000000000002,0.5710000000000001
0.0,0.0,0.4
0.071,0.071,0.929
0.0,0.0,0.5
0.0,0.25,0.75
0.0,0.125,0.5
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.10800000000000001,0.405,0.541
0.28600000000000003,0.28600000000000003,0.429
0.0,0.0,1.0
0.0,0.643,0.7140000000000001
0.053,0.053,1.0
0.0,0.0,1.0
-1.0,-1.0,-1.0
0.0,0.455,0.636
0.0,0.0,0.667
0.0,0.0,0.75
1.0,1.0,1.0
0.0,0.6,1.0
0.0,1.0,1.0
1.0,1.0,1.0
0.14300000000000002,0.429,0.7140000000000001
0.071,0.214,0.214
0.0,0.0,1.0
0.0,0.0,0.222
-1.0,-1.0,-1.0
0.231,0.231,0.846
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
1.0,1.0,1.0
0.125,0.125,0.125
0.4,1.0,1.0
-1.0,-1.0,-1.0
0.25,0.75,1.0
-1.0,-1.0,-1.0
0.0,1.0,1.0
-1.0,-1.0,-1.0
0.16699999999999998,0.33299999999999996,0.5
-1.0,-1.0,-1.0
0.0,0.2,0.8
1.0,1.0,1.0
0.0,1.0,1.0
0.33299999999999996,1.0,1.0
0.2,0.2,0.6
0.0,1.0,1.0
0.0,0.0,0.33299999999999996
0.0,0.25,0.5
0.2,0.4,0.4
0.0,0.0,1.0
0.0,0.091,0.455
0.222,0.556,0.556
0.0,0.33299999999999996,1.0
0.0,0.4,1.0
0.0,1.0,1.0
0.5,0.5,1.0
0.125,0.125,0.5
0.0,0.28600000000000003,0.28600000000000003
0.25,1.0,1.0
0.2,0.2,0.7
0.0,0.0,0.33299999999999996
0.0,0.16699999999999998,0.33299999999999996
0.2,0.2,1.0
0.071,0.071,1.0
0.0,0.0,0.0
0.071,0.071,1.0
0.0,0.0,0.4
0.0,0.667,1.0
0.053,0.158,0.158
0.0,0.071,0.071
1.0,1.0,1.0
0.867,1.0,1.0
