card_cm_bank60m_pct,card_cm_bank24m_pct
-1.0,-1.0
0.75,0.125
1.0,0.333
-1.0,-1.0
0.364,0.0
0.875,0.75
0.5,0.5
1.0,0.28600000000000003
1.0,0.25
0.25,0.062
-1.0,-1.0
0.727,0.364
1.0,0.0
0.429,0.429
0.923,0.154
0.706,0.118
0.0,0.0
-1.0,-1.0
1.0,1.0
-1.0,-1.0
-1.0,-1.0
0.0,0.0
1.0,0.0
0.308,0.231
-1.0,-1.0
0.214,0.0
-1.0,-1.0
-1.0,-1.0
1.0,0.0
-1.0,-1.0
0.0,0.0
1.0,1.0
0.389,0.0
1.0,0.0
1.0,0.625
1.0,1.0
1.0,0.5
-1.0,-1.0
-1.0,-1.0
1.0,0.0
0.556,0.16699999999999998
0.5,0.5
1.0,1.0
1.0,0.818
1.0,0.0
0.815,0.0
1.0,0.636
-1.0,-1.0
0.333,0.222
1.0,0.667
0.5,0.5
0.963,0.333
0.5,0.333
-1.0,-1.0
-1.0,-1.0
0.385,0.038
-1.0,-1.0
-1.0,-1.0
0.8,0.2
0.667,0.667
1.0,0.6
1.0,1.0
0.929,0.7140000000000001
0.8,0.0
0.8,0.2
0.0,0.0
0.0,0.0
-1.0,-1.0
1.0,0.5
0.5,0.14300000000000002
1.0,0.6
1.0,1.0
1.0,0.333
1.0,1.0
0.56,0.12
1.0,1.0
0.615,0.308
-1.0,-1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.32,0.04
1.0,0.857
-1.0,-1.0
0.476,0.048
1.0,1.0
1.0,0.0
1.0,0.4
1.0,1.0
-1.0,-1.0
0.1,0.0
1.0,0.5
1.0,0.667
-1.0,-1.0
0.333,0.0
-1.0,-1.0
0.9,0.2
0.375,0.125
0.5,0.0
1.0,1.0
0.96,0.0
1.0,0.667
0.5710000000000001,0.28600000000000003
1.0,1.0
-1.0,-1.0
-1.0,-1.0
1.0,0.077
-1.0,-1.0
-1.0,-1.0
1.0,1.0
0.083,0.0
0.6,0.067
0.923,0.0
1.0,0.0
1.0,1.0
-1.0,-1.0
0.0,0.0
-1.0,-1.0
0.7140000000000001,0.0
-1.0,-1.0
1.0,0.333
1.0,0.0
1.0,1.0
-1.0,-1.0
1.0,0.0
-1.0,-1.0
0.0,0.0
0.0,0.0
0.667,0.0
-1.0,-1.0
0.25,0.0
1.0,1.0
1.0,0.333
1.0,0.5
1.0,0.0
1.0,0.0
1.0,1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
0.0,0.0
-1.0,-1.0
-1.0,-1.0
0.6,0.4
-1.0,-1.0
0.935,0.194
1.0,1.0
0.182,0.0
-1.0,-1.0
1.0,1.0
0.833,0.333
-1.0,-1.0
-1.0,-1.0
1.0,0.28600000000000003
1.0,0.5
-1.0,-1.0
0.875,0.875
1.0,0.0
1.0,0.0
-1.0,-1.0
1.0,0.333
0.071,0.071
0.429,0.28600000000000003
1.0,0.333
1.0,1.0
0.0,0.0
0.16699999999999998,0.0
-1.0,-1.0
-1.0,-1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,0.471
1.0,1.0
-1.0,-1.0
0.5,0.5
0.7140000000000001,0.28600000000000003
-1.0,-1.0
0.5,0.5
1.0,0.0
1.0,0.0
-1.0,-1.0
1.0,1.0
-1.0,-1.0
0.75,0.75
1.0,0.0
1.0,0.5379999999999999
1.0,1.0
0.25,0.25
-1.0,-1.0
-1.0,-1.0
0.8,0.2
0.214,0.0
0.7859999999999999,0.5710000000000001
1.0,0.0
0.923,0.0
-1.0,-1.0
1.0,0.118
0.5,0.5
1.0,0.0
-1.0,-1.0
0.5,0.0
-1.0,-1.0
-1.0,-1.0
0.583,0.417
1.0,1.0
0.071,0.071
1.0,1.0
-1.0,-1.0
1.0,0.0
-1.0,-1.0
-1.0,-1.0
0.0,0.0
1.0,1.0
1.0,0.5
-1.0,-1.0
-1.0,-1.0
1.0,0.0
1.0,1.0
-1.0,-1.0
1.0,0.2
0.966,0.379
0.222,0.111
0.647,0.529
-1.0,-1.0
1.0,0.0
1.0,0.333
0.333,0.333
-1.0,-1.0
0.333,0.0
-1.0,-1.0
0.0,0.0
-1.0,-1.0
-1.0,-1.0
1.0,0.0
-1.0,-1.0
0.333,0.222
0.16699999999999998,0.0
-1.0,-1.0
1.0,0.667
-1.0,-1.0
0.8,0.8
1.0,0.0
1.0,1.0
-1.0,-1.0
0.625,0.375
1.0,0.0
1.0,0.609
-1.0,-1.0
0.545,0.0
-1.0,-1.0
1.0,1.0
0.625,0.583
0.316,0.158
1.0,1.0
-1.0,-1.0
1.0,0.0
1.0,0.0
0.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.25,0.083
0.75,0.5
0.812,0.312
-1.0,-1.0
0.7140000000000001,0.643
0.9,0.9
1.0,0.0
-1.0,-1.0
0.938,0.25
0.6,0.6
0.14300000000000002,0.0
-1.0,-1.0
0.364,0.182
-1.0,-1.0
1.0,0.0
0.0,0.0
0.941,0.882
0.8079999999999999,0.0
1.0,1.0
1.0,1.0
1.0,0.875
-1.0,-1.0
1.0,0.0
1.0,0.0
0.16699999999999998,0.0
0.0,0.0
0.0,0.0
-1.0,-1.0
-1.0,-1.0
1.0,0.0
0.333,0.16699999999999998
0.0,0.0
1.0,1.0
0.8640000000000001,0.045
0.889,0.111
0.636,0.636
0.8,0.4
0.0,0.0
1.0,0.4
0.2,0.2
1.0,0.833
1.0,1.0
1.0,0.25
1.0,0.5
1.0,0.333
0.667,0.667
-1.0,-1.0
-1.0,-1.0
1.0,1.0
0.778,0.444
0.737,0.105
-1.0,-1.0
1.0,0.0
-1.0,-1.0
0.2,0.2
0.976,0.659
0.625,0.5
-1.0,-1.0
1.0,1.0
0.933,0.867
1.0,0.556
0.6,0.2
0.182,0.182
0.333,0.16699999999999998
0.529,0.118
0.385,0.077
0.133,0.0
1.0,0.8420000000000001
0.2,0.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
0.5710000000000001,0.28600000000000003
0.023,0.0
1.0,1.0
-1.0,-1.0
0.833,0.667
0.16699999999999998,0.16699999999999998
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
0.0,0.0
1.0,0.0
0.2,0.1
0.25,0.0
1.0,0.846
0.0,0.0
-1.0,-1.0
-1.0,-1.0
0.5379999999999999,0.0
0.804,0.7390000000000001
0.667,0.0
1.0,1.0
0.75,0.25
1.0,0.333
1.0,0.7140000000000001
1.0,0.077
1.0,1.0
0.0,0.0
-1.0,-1.0
0.7140000000000001,0.28600000000000003
0.75,0.25
0.5,0.0
0.929,0.28600000000000003
-1.0,-1.0
0.667,0.667
0.846,0.0
1.0,1.0
1.0,0.174
1.0,1.0
1.0,0.292
1.0,0.5
0.0,0.0
1.0,0.0
1.0,0.28600000000000003
0.421,0.105
-1.0,-1.0
0.333,0.0
1.0,0.667
0.6,0.067
1.0,0.75
0.619,0.619
0.857,0.7140000000000001
-1.0,-1.0
0.0,0.0
1.0,0.0
-1.0,-1.0
-1.0,-1.0
1.0,0.75
0.92,0.04
1.0,0.16699999999999998
0.25,0.25
0.222,0.111
0.857,0.28600000000000003
0.0,0.0
0.333,0.0
0.769,0.0
0.2,0.0
-1.0,-1.0
0.6,0.1
-1.0,-1.0
0.8,0.0
0.0,0.0
0.0,0.0
-1.0,-1.0
1.0,0.0
0.7140000000000001,0.429
-1.0,-1.0
-1.0,-1.0
0.16699999999999998,0.16699999999999998
0.8420000000000001,0.474
0.0,0.0
0.8240000000000001,0.0
1.0,1.0
0.0,0.0
1.0,0.5
0.0,0.0
0.682,0.591
0.5,0.4
1.0,0.5
0.969,0.062
0.0,0.0
-1.0,-1.0
-1.0,-1.0
0.5,0.0
-1.0,-1.0
1.0,0.14300000000000002
0.0,0.0
0.5710000000000001,0.28600000000000003
0.0,0.0
1.0,0.333
0.889,0.056
0.5,0.0
1.0,0.0
1.0,1.0
-1.0,-1.0
1.0,1.0
-1.0,-1.0
1.0,0.733
0.0,0.0
1.0,0.5
1.0,0.0
1.0,1.0
0.625,0.125
1.0,1.0
1.0,1.0
-1.0,-1.0
1.0,0.0
-1.0,-1.0
1.0,0.0
-1.0,-1.0
0.474,0.421
1.0,1.0
0.882,0.353
-1.0,-1.0
1.0,0.875
-1.0,-1.0
0.72,0.04
0.071,0.0
0.8,0.7
1.0,0.14300000000000002
-1.0,-1.0
1.0,1.0
1.0,1.0
1.0,0.0
0.308,0.077
0.0,0.0
0.524,0.14300000000000002
1.0,0.0
0.333,0.0
1.0,1.0
-1.0,-1.0
1.0,0.6
1.0,0.0
0.333,0.16699999999999998
1.0,0.667
1.0,0.6
0.857,0.28600000000000003
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
1.0,0.0
-1.0,-1.0
1.0,0.4
0.5,0.16699999999999998
1.0,0.0
1.0,0.667
1.0,0.0
0.0,0.0
-1.0,-1.0
1.0,0.2
-1.0,-1.0
0.0,0.0
1.0,0.5
0.0,0.0
0.88,0.12
0.0,0.0
1.0,0.333
0.25,0.25
0.667,0.5
-1.0,-1.0
0.2,0.05
0.25,0.0
-1.0,-1.0
-1.0,-1.0
1.0,1.0
0.6,0.1
1.0,0.0
-1.0,-1.0
-1.0,-1.0
1.0,0.75
-1.0,-1.0
0.857,0.0
1.0,0.667
1.0,0.0
-1.0,-1.0
1.0,0.0
1.0,1.0
1.0,0.0
0.667,0.0
-1.0,-1.0
-1.0,-1.0
0.4,0.0
-1.0,-1.0
0.5,0.071
0.429,0.429
1.0,1.0
1.0,0.316
1.0,1.0
1.0,0.0
-1.0,-1.0
1.0,1.0
1.0,0.524
1.0,1.0
0.0,0.0
-1.0,-1.0
1.0,1.0
1.0,0.5
1.0,0.0
-1.0,-1.0
-1.0,-1.0
1.0,1.0
-1.0,-1.0
1.0,0.0
1.0,1.0
0.5710000000000001,0.5710000000000001
-1.0,-1.0
0.0,0.0
0.7,0.1
0.455,0.364
0.875,0.375
0.0,0.0
1.0,0.25
0.0,0.0
1.0,0.0
0.0,0.0
1.0,0.071
1.0,0.333
0.0,0.0
1.0,1.0
1.0,0.2
